Title,Company Name,Location,Posted,Type,Experience,Link
Data Security Section Head,GB Corp,"Giza, Egypt ",2 days ago,Full Time,4+ Yrs of Exp,https://wuzzuf.net/jobs/p/6ptzaool8xxi-data-security-section-head-gb-corp-giza-egypt
Data Analytics Engineer,Erada,"Maadi, Cairo, Egypt ",1 day ago,Full Time,3+ Yrs of Exp,https://wuzzuf.net/jobs/p/pzd70ku3ht2v-data-analytics-engineer-erada-cairo-egypt
Middle Data Scientist,Vertex Technologies,"Cairo, Egypt ",10 days ago,Full Time,2+ Yrs of Exp,https://wuzzuf.net/jobs/p/0pjt4ec9jcbn-middle-data-scientist-vertex-technologies-cairo-egypt
Big Data Engineer,Efada Technology,"6th of October, Giza, Egypt ",16 days ago,Full Time,3+ Yrs of Exp,https://wuzzuf.net/jobs/p/9rkxqmsbkr5i-big-data-engineer-efada-technology-giza-egypt
Quality Assurance Specialist,El Mohandess Print House,"10th of Ramadan City, Sharqia, Egypt ",4 hours ago,Full Time,1+ Yrs of Exp,https://wuzzuf.net/jobs/p/1e6kxrvyuhpt-quality-assurance-specialist-el-mohandess-print-house-sharqia-egypt
Backoffice Agent (Mail & Chat \ B2 English ),Etisalat Egypt,"Maadi, Cairo, Egypt ",12 hours ago,Full Time,0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/unhrmlmgqper-backoffice-agent-mail-chat-b2-english-etisalat-egypt-cairo-egypt
Mail & Chat Agent (B2 English Speakers) - e&UAE,Etisalat Egypt,"Maadi, Cairo, Egypt ",14 hours ago,Full Time,0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/80zjdw42qaxj-mail-chat-agent-b2-english-speakers-euae-etisalat-egypt-cairo-egypt
Backoffice Agent (Mail & Chat) B2 English Speakers,Etisalat Egypt,"Maadi, Cairo, Egypt ",2 days ago,Full Time,0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/0z2vlktgmlb2-backoffice-agent-mail-chat-b2-english-speakers-etisalat-egypt-cairo-egypt
Mail & Chat Agent (B2 English Speakers) e&UAE.,Etisalat Egypt,"Maadi, Cairo, Egypt ",3 days ago,Full Time,0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/xlmdly8pobzn-mail-chat-agent-b2-english-speakers-euae-etisalat-egypt-cairo-egypt
Chat Agent (B2 English Speakers) graduates,Etisalat Egypt,"Maadi, Cairo, Egypt ",4 days ago,Full Time,0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/1t8fjx8lwsta-chat-agent-b2-english-speakers-graduates-etisalat-egypt-cairo-egypt
Call Center Agent (B2 English Speakers) e&UAE.,Etisalat Egypt,"Maadi, Cairo, Egypt ",4 days ago,Full Time,0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/a7fueu1iappz-call-center-agent-b2-english-speakers-euae-etisalat-egypt-cairo-egypt
Mail & Chat Agent - B2 English Speakers,Etisalat Egypt,"Maadi, Cairo, Egypt ",6 days ago,Full Time,0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/6qqakkmjcigq-mail-chat-agent-b2-english-speakers-etisalat-egypt-cairo-egypt
Call Center Agent (B2 English Speakers) e&UAE,Etisalat Egypt,"Maadi, Cairo, Egypt ",6 days ago,Full Time,0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/qhqvvitgprip-call-center-agent-b2-english-speakers-euae-etisalat-egypt-cairo-egypt
Mail&Chat Agent (B2 English Speakers) e&UAE,Etisalat Egypt,"Maadi, Cairo, Egypt ",10 days ago,Full Time,0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/spkl7cuuyozf-mailchat-agent-b2-english-speakers-euae-etisalat-egypt-cairo-egypt
Mail&Chat Agent (B2 English Speakers) Etisalat UAE,Etisalat Egypt,"Maadi, Cairo, Egypt ",12 days ago,Full Time,1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/qdj0xlrgnjka-mailchat-agent-b2-english-speakers-etisalat-uae-etisalat-egypt-cairo-egypt
E-mail & Chat Agent (B2 English Speakers),Etisalat Egypt,"Maadi, Cairo, Egypt ",13 days ago,Full Time,0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/8ylnjwwptchd-e-mail-chat-agent-b2-english-speakers-etisalat-egypt-cairo-egypt
Senior Research and development Specialist,French for food industries,"Cairo, Egypt ",14 days ago,Full Time,2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/qqajtwm1blyz-senior-research-and-development-specialist-french-for-food-industries-cairo-egypt
Agriculture Engineer - (Seedlings & Crops) - Minya,samy ayed group,"Cairo, Egypt ",15 days ago,Full Time,2 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/5xxvqjxrh1gl-agriculture-engineer-seedlings-crops-minya-samy-ayed-group-cairo-egypt
